Tipo,Titolo,Url,Nascita,Morte
gruppo,Gatti di Vicolo Miracoli,https://it.wikipedia.org/wiki/I_Gatti_di_Vicolo_Miracoli,,
gruppo,Canzoniere Internazionale,https://it.wikipedia.org/wiki/Canzoniere_Internazionale,,
gruppo,Duo di Piadena,https://it.wikipedia.org/wiki/Duo_di_Piadena,,
persona,Pardo Fornaciari,https://it.wikipedia.org/wiki/Pardo_Fornaciari,1948,
persona,Chicho Sánchez Ferlosio,https://it.wikipedia.org/wiki/Chicho_S%C3%A1nchez_Ferlosio,1940,2003
persona,Michele Luciano Straniero,https://it.wikipedia.org/wiki/Michele_L._Straniero,1936,2000
persona,Dante Bartolini,https://it.wikipedia.org/wiki/Dante_Bartolini,1909,1979
persona,Belgrado Pedrini,https://it.wikipedia.org/wiki/Belgrado_Pedrini,1913,1979
persona,Virgilio Savona,https://it.wikipedia.org/wiki/Virgilio_Savona,1919,2009
persona,Emilio Casalini,https://it.wikipedia.org/wiki/Emilio_Casalini,1969,
persona,Lino Patruno,https://it.wikipedia.org/wiki/Lino_Patruno,1935,
persona,Anna Barile,,,
persona,Gianni Rodari,https://it.wikipedia.org/wiki/Gianni_Rodari,1920,1980
persona,Antonietta Laterza,https://it.wikipedia.org/wiki/Antonietta_Laterza,1950,
gruppo,Nuovo Canzoniere Bresciano,,,
persona,Giorgio Gaber,https://it.wikipedia.org/wiki/Giorgio_Gaber,1939,2003
persona,Cicciu Busacca,https://it.wikipedia.org/wiki/Ciccio_Busacca,1925,1989
gruppo,De' Soda Sisters,,,
persona,Luciano Rossi,https://it.wikipedia.org/wiki/Luciano_Rossi_(cantautore),1945,2023
gruppo,Coro delle mondine di Bentivoglio,https://it.wikipedia.org/wiki/Coro_delle_mondine_di_Bentivoglio,,
persona,Angelo Caria,https://it.wikipedia.org/wiki/Angelo_Caria,1948,1996
persona,Paolo Ciarchi,https://it.wikipedia.org/wiki/Paolo_Ciarchi,1942,2019
gruppo,Collettivo del Contropotere,,,
persona,Enzo Maolucci,https://it.wikipedia.org/wiki/Enzo_Maolucci,1946,
persona,Kurt Weill,https://it.wikipedia.org/wiki/Kurt_Weill,1900,1950
persona,Pierre Degeyter,https://it.wikipedia.org/wiki/Pierre_Degeyter,1848,1932
persona,Luigi Tenco,https://it.wikipedia.org/wiki/Luigi_Tenco,1938,1967
persona,Peppino Mereu,https://it.wikipedia.org/wiki/Peppino_Mereu,1872,1901
persona,Rafael Alberti,https://it.wikipedia.org/wiki/Rafael_Alberti,1902,1999
persona,Mario Pogliotti,,1927,2006
persona,Mimmo Boninelli,,,
persona,Claudio Bernieri,,,
persona,Luigi Molinari,https://it.wikipedia.org/wiki/Luigi_Molinari,1866,1918
persona,Attilio Panizza,https://it.wikipedia.org/wiki/Attilio_Panizza,1858,1919
